Redness,Greenness,Blueness,Yellowness,RedGreen,BlueYellow,Colorfulness,Contrast,Saturation,Entropy,Brightness,Luminance,Luminance_Perceived,Faces,File,Resolution,Framerate
0.5127565895534034,0.48035466839730323,0.5240937711371993,0.47590622886280065,0.7301797233552474,-0.9739080646346802,0.27223686367135946,26.97742749196917,0.1422361936192199,7.6610388880921825,0.5318038177633881,0.2913348155371925,0.292611816538179,0.4444444444444444,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4.mp4,1920x1080,85.86666666666666
0.6820184413357164,0.6368591956178058,0.11182927806018572,0.8881707219398145,-6.1188946056995,17.207046546335867,0.11467013010423921,20.965892803285335,0.33866219631564315,7.612009864115626,0.4677988588568144,0.21648102653591103,0.21653887449301967,4.4,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_1.mp4,1920x1080,90.93333333333334
0.664252442779395,0.6026334632068845,0.15998677404860323,0.8400132259513969,-3.8724978965273067,15.42413049386371,0.17044462812163058,26.19862593742394,0.3555891975618203,7.787119274491993,0.47864406534218634,0.2449172024177013,0.24722433956528111,4.285714285714286,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_2.mp4,1920x1080,62.833333333333336
0.6141506033496225,0.6036832905497044,0.23487532061072205,0.7651246793892781,-3.93572621106035,10.959213031736041,0.19389003876548622,28.447888349399655,0.2883897851494265,7.581606169449815,0.4950413917351277,0.28526217085481576,0.28560421722261575,3.125,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_3.mp4,1920x1080,76.06666666666666
0.741562196311191,0.5361101399857374,0.20692470530446708,0.7930752946955328,-2.168453642999092,9.677257737149203,0.2248172897678734,29.07860288610459,0.23420200891238055,7.2587117157828915,0.5045132972620632,0.30251180507171627,0.3038868420124223,1.5,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_4.mp4,1920x1080,59.06666666666667
0.6832717742142632,0.5531161379424718,0.22363985468785227,0.7763601453121477,-1.1276766799699915,12.408870232490703,0.19376334962030795,25.507767855488797,0.32693734869258495,7.814136771409521,0.5210760611729259,0.2718261521805908,0.2755289799469792,2.4285714285714284,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_5.mp4,1920x1080,60.333333333333336
0.6832717742142632,0.5531161379424718,0.22363985468785227,0.7763601453121477,-1.1276766799699915,12.408870232490703,0.19376334962030795,25.507767855488797,0.32693734869258495,7.814136771409521,0.5210760611729259,0.2718261521805908,0.2755289799469792,2.4285714285714284,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_6.mp4,1920x1080,60.333333333333336
0.6745102279797052,0.5849891312336156,0.19492817171783466,0.8050718282821654,-3.0806153406113115,11.852614067255933,0.19468169091786502,25.614956879018777,0.3074541578988482,7.718948194939913,0.47326587392769603,0.24062899150769898,0.24177707203483872,2.0,C:/Dropbox/vimeo\4K Seoul Walking Tour [ ILSAN LAKE PARK ] Beautiful Korea.mp4_7.mp4,1920x1080,71.1
0.4821561192547423,0.5498513405889197,0.44562052454850604,0.5543794754514941,-2.9724772329853786,-1.9571576416313117,0.25460659804593005,30.54176900792158,0.2806919341541513,7.7206274785075575,0.5280795936430129,0.285470617766349,0.29029992412274136,1.7142857142857142,C:/Dropbox/vimeo\4K Seoul Walking Tour [ Olympics Park ] Mongchon Mud Castle.mp4.mp4,1920x1080,63.96666666666667
0.6163097867515093,0.6969894084879691,0.13730758105281943,0.8626924189471806,-8.393226597325484,17.068962323452748,0.1075218092793176,21.646124568158314,0.3265933527205534,7.565594938090794,0.47144842472096865,0.2258356570322604,0.2246980734905164,3.357142857142857,C:/Dropbox/vimeo\4K Seoul Walking Tour [ Olympics Park ] Mongchon Mud Castle.mp4_1.mp4,1920x1080,137.76666666666668
0.5318892357945402,0.5498431183392398,0.3989852456322245,0.6010147543677756,-3.02115428649441,1.4347536553541425,0.26798056882401344,32.40424156594668,0.22849703954954376,7.419928508594725,0.5107382146801622,0.30897905969434125,0.31008091348230193,1.5,C:/Dropbox/vimeo\4K Seoul Walking Tour [ Olympics Park ] Mongchon Mud Castle.mp4_10.mp4,1920x1080,92.13333333333334
0.5428276915031347,0.5408192212308066,0.40209077714329156,0.5979092228567084,-2.6892200028255147,1.5035059018422037,0.2765738613998743,32.51766257254616,0.22216027004232156,7.358850499162196,0.5069407339324621,0.3092110411707007,0.3101906761454656,1.875,C:/Dropbox/vimeo\4K Seoul Walking Tour [ Olympics Park ] Mongchon Mud Castle.mp4_11.mp4,1920x1080,70.66666666666667
0.6596459338831854,0.6506651765942065,0.19470009800023472,0.8052999019997652,-5.873133022506228,13.12353344427475,0.1668165285122082,15.309845399049673,0.2930603067614853,7.2932709572516625,0.43745407878943754,0.16213708880414696,0.16322421612690385,3.888888888888889,C:/Dropbox/vimeo\4K Seoul Walking Tour [ Olympics Park ] Mongchon Mud Castle.mp4_2.mp4,1920x1080,84.76666666666667
